#{"t_start": 1685717185.387958, "env_id": null}
r,l,t
-33.2,4635,21.944263
-35.6,4078,32.130903
-34.7,3570,40.867437
-30.2,4220,78.659769
-35.7,4630,89.942814
-34.3,3099,97.770586
-33.8,4118,135.452464
-28.0,5763,150.348845
-36.2,3957,160.923827
-25.3,4224,203.169305
-33.1,4102,215.727802
-30.7,4674,228.138221
-34.6,4319,271.554748
-34.1,3425,281.367588
-33.3,4185,292.650499
-33.3,4245,304.451107
-32.4,4013,346.174582
-35.1,4138,357.283423
-31.4,4399,368.457369
-29.7,3833,407.047729
-30.8,4784,419.385551
-32.2,3905,436.026261
-29.6,4490,493.139316
-31.4,4242,505.234979
-28.0,3702,525.666677
-30.2,3740,540.965099
-28.9,4021,585.797171
-30.1,4317,602.666659
-30.6,3952,620.079154
-31.3,3954,659.924856
-37.0,4829,672.5219
-28.5,3815,683.557753
-29.4,3450,720.915743
-30.8,3690,730.32767
-32.8,3444,738.817137
-32.2,3059,746.565801
-28.2,4891,788.723472
-30.1,3588,800.06645
-30.3,5751,815.677321
-26.6,4043,855.761115
-30.7,3990,866.271287
-31.3,4448,877.821941
-31.0,4663,919.897703
-30.7,3672,929.875028
-30.3,4443,941.579471
-30.3,4088,952.19583
-36.2,4425,992.89153
-31.8,5233,1006.51368
-27.7,4621,1019.49918
-32.2,4750,1062.502089
-31.9,4935,1075.41008
-31.8,4015,1115.459421
-30.3,3949,1125.425759
-30.3,3667,1134.472751
-31.7,4177,1145.436822
-30.3,4012,1186.382354
-31.0,4629,1200.018033
-29.8,3694,1210.875642
-30.8,4497,1254.999005
-27.2,3770,1267.150778
-31.3,4722,1281.85154
-29.8,4683,1325.596314
-30.8,4127,1338.741745
-29.3,4127,1352.757285
-29.6,3967,1367.93697
-30.0,3772,1412.720573
-32.3,3441,1423.12113
-32.3,5082,1439.334036
-31.6,4773,1484.842097
-27.1,4122,1498.770485
-31.7,4805,1512.844276
-31.7,4463,1557.89515
-29.2,3437,1567.185472
-31.8,4383,1578.430255
-31.7,3751,1615.546028
-23.8,2958,1623.654825
-29.4,3833,1634.129892
-13.7,3316,1642.854295
-23.1,3526,1680.902845
-31.2,4514,1692.174875
-27.2,3945,1702.32758
-30.7,4061,1721.927758
-31.8,4058,1777.181961
-31.9,4815,1802.11487
-31.8,4067,1815.98754
-29.8,3400,1863.645663
-29.3,4198,1874.792252
-28.5,4958,1887.947664
-29.3,3785,1931.431092
-30.8,4403,1945.740191
-21.7,3743,1955.576288
-31.4,4061,1966.326876
-31.8,4349,2007.674112
-33.3,4174,2020.495074
-30.3,3952,2032.815622
-27.4,3699,2076.906156
-29.6,3821,2089.48209
-25.9,4652,2104.158387
-27.7,4628,2148.158505
-27.2,3770,2158.532494
-33.3,4094,2170.688543
-29.4,3682,2181.125367
-31.9,4123,2222.328368
-33.8,3946,2233.869831
-23.4,4316,2249.360412
-31.9,4001,2294.245148
-31.9,4590,2308.993201
-31.8,3963,2321.74327
-20.5,4579,2369.211123
-32.3,4282,2384.445241
-29.8,3648,2397.3361
-28.4,3728,2408.500302
-30.3,3496,2445.639223
-29.6,4021,2456.383233
-12.1,4218,2467.417574
-31.3,4521,2509.578801
-28.8,3687,2518.955819
-31.3,4760,2530.969094
-28.8,3876,2569.558934
-27.5,3895,2579.458927
-30.2,3474,2588.820358
-28.9,3379,2600.156317
-31.8,3643,2649.301668
-32.7,3922,2666.268527
-20.4,3086,2675.899959
-29.3,3359,2687.01885
-29.4,3990,2738.002094
-29.4,3688,2753.660727
-26.5,4269,2770.426708
-26.7,3599,2817.466763
-30.8,4077,2833.805975
-19.8,3380,2843.880779
-31.7,4016,2856.932307
-28.4,3862,2899.932798
-28.2,3374,2912.566396
-24.7,3263,2923.955385
-22.9,3952,2939.310414
-31.7,4098,2982.051865
-27.4,3847,3002.541402
-31.4,3927,3016.834785
-29.4,3389,3059.134061
-25.1,4117,3072.225961
-31.7,4724,3086.774211
-27.7,3595,3097.817939
-27.7,4152,3141.000876
-25.7,3499,3149.720878
-29.8,3756,3160.068889
-29.2,4184,3199.660386
-30.9,4024,3210.057133
-30.0,3858,3220.072512
-22.6,3906,3230.53696
-23.4,5442,3277.21161
-30.4,3159,3285.753865
-30.6,4532,3298.355626
-26.7,3631,3343.963984
-20.0,3934,3356.581564
-27.9,3517,3366.147238
-28.0,3792,3408.142609
-29.8,3118,3416.901387
-32.4,4674,3430.977477
-29.7,3871,3442.462321
-30.3,4445,3486.057789
-21.3,5246,3501.44413
-30.9,4633,3515.686444
-26.4,4215,3560.572005
-22.1,5080,3576.18914
-30.4,4742,3589.194241
-24.1,4107,3629.397078
-21.4,4760,3642.525582
-31.3,4243,3655.183708
-28.3,4440,3694.950438
-26.3,2929,3702.679589
-26.2,4438,3716.501306
-31.3,4938,3758.30277
-21.8,4493,3770.306434
-27.7,3386,3779.108526
-22.7,3321,3788.697586
-22.7,5558,3833.411472
-22.9,3833,3845.594468
-29.8,3409,3856.331131
-30.3,5985,3901.183213
-26.4,3254,3909.402807
-26.3,3538,3919.876002
-28.5,3977,3958.439888
-26.6,3186,3966.931819
-28.8,3770,3977.745188
-29.3,3692,3991.877919
-24.0,5904,4035.233766
-24.9,6558,4052.329995
-23.9,3183,4089.721149
-22.7,3851,4099.794294
-29.7,3435,4108.71438
-28.5,4055,4119.420889
-20.8,5761,4164.931319
-24.9,4010,4175.025441
-27.4,4126,4185.817329
-29.0,3470,4225.034977
-28.5,3981,4234.983588
-28.9,3913,4244.809486
